No.,Longitude,Latitude,Climate,MAT (C),MAP(mm),Ecosystem,Restoration time (years),Soil depth (cm),Ambient SOC(g kg-1),lnRR.SOC,lnRR.TN,lnRR.TP,lnRR.AN,lnRR.AP,lnRR.MBC,lnRR.MBN,lnRR.MBP,lnRR.invertase,lnRR.urease,lnRR.catalase,lnRR.phosphatase
1,116.43,40.17,Temperate,11.5,640,Non-forest,2,5,,,-0.0161,-0.1106,,,,,,,,,
2,116.43,40.17,Temperate,11.5,640,Non-forest,2,5,,,0.086,-0.0442,,,,,,,,,
3,116.43,40.17,Temperate,11.5,640,Non-forest,2,20,,,-0.0683,-0.0379,,,,,,,,,
4,116.43,40.17,Temperate,11.5,640,Non-forest,2,20,,,-0.0603,-0.0225,,,,,,,,,
5,116.43,40.17,Temperate,11.5,640,Non-forest,2,45,,,-0.1442,-0.1358,,,,,,,,,
6,116.43,40.17,Temperate,11.5,640,Non-forest,2,45,,,-0.1306,-0.0673,,,,,,,,,
7,116.43,40.17,Temperate,11.5,640,Non-forest,2,80,,,0.2547,0.0988,,,,,,,,,
8,116.43,40.17,Temperate,11.5,640,Non-forest,2,80,,,0.1467,-0.0026,,,,,,,,,
9,116.57,36.7,Temperate,,,Non-forest,7,2.5,8.12,0.607,0.5134,,,,,,,,,,
10,116.57,36.7,Temperate,,,Non-forest,7,7.5,8.08,-0.1725,-0.026,,,,,,,,,,
11,116.57,36.7,Temperate,,,Non-forest,7,15,7.32,-0.259,-0.1473,,,,,,,,,,
12,116.57,36.7,Temperate,,,Non-forest,7,25,5.34,-0.2236,-0.1512,,,,,,,,,,
13,116.57,36.7,Temperate,,,Forest,7,2.5,8.12,0.5469,0.3755,,,,,,,,,,
14,116.57,36.7,Temperate,,,Forest,7,2.5,8.12,0.8093,0.6412,,,,,,,,,,
15,116.57,36.7,Temperate,,,Forest,7,7.5,8.08,0.0899,0.0859,,,,,,,,,,
16,116.57,36.7,Temperate,,,Forest,7,7.5,8.08,0.1067,0.1651,,,,,,,,,,
17,116.57,36.7,Temperate,,,Forest,7,15,7.32,-0.0291,-0.0138,,,,,,,,,,
18,116.57,36.7,Temperate,,,Forest,7,15,7.32,-0.1157,-0.0278,,,,,,,,,,
19,116.57,36.7,Temperate,,,Forest,7,25,5.34,0.044,0.0345,,,,,,,,,,
20,116.57,36.7,Temperate,,,Forest,7,25,5.34,-0.1891,-0.0918,,,,,,,,,,
21,106.37,29.82,Subtropical,13.6,1611.8,Non-forest,14,5,12.01,-0.7626,-0.2274,-0.0973,,-1.8041,-1.6643,-0.2062,,,,,
22,106.37,29.82,Subtropical,13.6,1611.8,Non-forest,14,15,10.41,-0.7706,-0.087,-0.0008,,-1.1414,-1.7415,-0.087,,,,,
23,106.37,29.82,Subtropical,13.6,1611.8,Non-forest,14,25,5.39,-0.6166,-0.0503,1.1922,,-1.3099,-1.9426,-0.1525,,,,,
24,106.37,29.82,Subtropical,13.6,1611.8,Non-forest,14,35,2.74,0.0786,-0.0535,1.9227,,-0.7705,-1.505,-0.1714,,,,,
25,106.37,29.82,Subtropical,13.6,1611.8,Non-forest,14,45,2.72,-0.1449,0.1444,1.359,,-0.8558,-1.6719,0.1509,,,,,
26,106.37,29.82,Subtropical,13.6,1611.8,Non-forest,14,55,2.6,-0.1567,0.113,1.1525,,-1.0058,-1.7534,-0.0216,,,,,
27,109.87,31.1,Subtropical,18.4,1049.3,Forest,,10,9.01,0.1021,0.0282,-0.2305,,-0.9869,,,,,,,
28,109.87,31.1,Subtropical,18.4,1049.3,Non-forest,,10,9.01,0.2877,0.2212,0.0846,,-0.3534,,,,,,,
29,108.18,30.41,Subtropical,18.2,1172.1,Non-forest,5,5,7.21,0.3216,-0.9769,-0.2184,-0.3205,-2.3103,,,,-0.5108,-0.9059,0.1979,-0.9427
30,108.18,30.41,Subtropical,18.2,1172.1,Non-forest,2,5,7.21,-0.0471,0.3195,-0.1189,-0.4765,-1.66,,,,0.47,0.8711,0.4822,-1.5683
31,108.18,30.41,Subtropical,18.2,1172.1,Non-forest,5,15,4.64,0.3441,-0.6405,0.242,-0.295,-1.9033,,,,0.4055,-0.2144,-0.1783,-0.9391
32,108.18,30.41,Subtropical,18.2,1172.1,Non-forest,2,15,4.64,-0.0935,0.1618,0.2697,-0.6433,-1.5486,,,,0.6931,1.373,0.2363,-1.7405
33,108.13,30.41,Subtropical,18.2,1200,Non-forest,8,10,5.03,0.4626,0.3989,0.5108,0.2929,-0.0875,,,,,,,
34,108.17,30.43,Subtropical,18.2,1172.1,Non-forest,2,10,7.33,-0.3105,-0.071,-0.4385,0.1078,-1.1787,,,,0,0.0242,0.4542,0.0888
35,108.17,30.43,Subtropical,18.2,1172.1,Non-forest,2,30,7.42,0.0195,0.1812,-0.2863,-0.1081,-1.0561,,,,0,-0.0498,0.4087,-0.1872
36,108.17,30.43,Subtropical,18.2,1172.1,Non-forest,2,50,5.99,0.1823,0.0288,-0.0414,-0.0112,0.4055,,,,0.08,-0.1965,0.4285,-1.5261
37,108.14,30.41,Subtropical,19.2,1172,Non-forest,3,10,3.35,0.6158,0.2364,-0.2364,0.2477,-0.8815,,,,,,,
38,108.13,30.41,Subtropical,18.2,1200,Forest,8,10,5.03,0.4531,0.5568,0.4769,0.3389,-0.4154,,,,,,,
39,108.17,30.41,Subtropical,19.2,1150,Forest,3,10,5.88,-0.0781,-0.0888,0.6306,-0.4769,-0.4939,,,,,,,
40,108.14,30.41,Subtropical,19.2,1172,Forest,3,10,3.35,0.9009,0.6152,-0.0132,0.5465,0.4222,,,,,,,
41,105.4,29.65,Subtropical,17.7,1117,Non-forest,8,2.5,4.84,0.2997,0.0403,-0.3051,0.0541,-0.4101,,,,,,,
42,105.4,29.65,Subtropical,17.7,1117,Non-forest,8,7.5,4.14,0.0659,-0.1552,-0.1947,-0.1031,-0.6539,,,,,,,
