No.,Studies,Author.year,Longitude(o),Latitude(o),MAT (°„C),MAP(mm),Ecosystem,Restoration time (year),Soil depth (cm),ambient SOC(g kg-1),lnRR.SOC,lnRR.TN,lnRR.TP,lnRR.AN,lnRR.AP,lnRR.MBC,lnRR.MBN,lnRR.MBP,lnRR.invertase,lnRR.urease,lnRR.catalase,lnRR.phosphatase
1,1,Niu et al. 2009,116.43,40.17,11.5,640,Non-forest,2,5,NA,NA,-0.0161,-0.1106,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,1,Niu et al. 2009,116.43,40.17,11.5,640,Non-forest,2,5,NA,NA,0.086,-0.0442,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,1,Niu et al. 2009,116.43,40.17,11.5,640,Non-forest,2,20,NA,NA,-0.0683,-0.0379,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,1,Niu et al. 2009,116.43,40.17,11.5,640,Non-forest,2,20,NA,NA,-0.0603,-0.0225,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,1,Niu et al. 2009,116.43,40.17,11.5,640,Non-forest,2,45,NA,NA,-0.1442,-0.1358,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,1,Niu et al. 2009,116.43,40.17,11.5,640,Non-forest,2,45,NA,NA,-0.1306,-0.0673,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,1,Niu et al. 2009,116.43,40.17,11.5,640,Non-forest,2,80,NA,NA,0.2547,0.0988,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,1,Niu et al. 2009,116.43,40.17,11.5,640,Non-forest,2,80,NA,NA,0.1467,-0.0026,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,2,Guo et al. 2012a,116.57,36.7,NA,NA,Non-forest,7,2.5,8.12,0.607,0.5134,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,2,Guo et al. 2012a,116.57,36.7,NA,NA,Non-forest,7,7.5,8.08,-0.1725,-0.026,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,2,Guo et al. 2012a,116.57,36.7,NA,NA,Non-forest,7,15,7.32,-0.259,-0.1473,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,2,Guo et al. 2012a,116.57,36.7,NA,NA,Non-forest,7,25,5.34,-0.2236,-0.1512,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,3,Guo et al. 2012a,116.57,36.7,NA,NA,Forest,7,2.5,8.12,0.5469,0.3755,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,3,Guo et al. 2012a,116.57,36.7,NA,NA,Forest,7,2.5,8.12,0.8093,0.6412,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,3,Guo et al. 2012a,116.57,36.7,NA,NA,Forest,7,7.5,8.08,0.0899,0.0859,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,3,Guo et al. 2012a,116.57,36.7,NA,NA,Forest,7,7.5,8.08,0.1067,0.1651,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,3,Guo et al. 2012a,116.57,36.7,NA,NA,Forest,7,15,7.32,-0.0291,-0.0138,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,3,Guo et al. 2012a,116.57,36.7,NA,NA,Forest,7,15,7.32,-0.1157,-0.0278,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,3,Guo et al. 2012a,116.57,36.7,NA,NA,Forest,7,25,5.34,0.044,0.0345,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,3,Guo et al. 2012a,116.57,36.7,NA,NA,Forest,7,25,5.34,-0.1891,-0.0918,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,4,Zhu 2013,106.37,29.82,13.6,1611.8,Non-forest,14,5,12.01,-0.7626,-0.2274,-0.0973,NA,-1.8041,-1.6643,-0.2062,NA,NA,NA,NA,NA
