No.,Studies,Author.year,Longitude(o),Latitude(o),MAT (¡ãC),MAP(mm),Ecosystem,Restoration time (year),Soil depth (cm),ambient SOC(g kg-1),lnRR.SOC,lnRR.TN,lnRR.TP,lnRR.AN,lnRR.AP,lnRR.MBC,lnRR.MBN,lnRR.MBP,lnRR.invertase,lnRR.urease,lnRR.catalase,lnRR.phosphatase,Climate
1,1,Niu et al. 2009,116.43,40.17,11.5,640.0,Non-forest,2.0,5.0,,,-0.0161,-0.1106,,,,,,,,,,Temperate
2,1,Niu et al. 2009,116.43,40.17,11.5,640.0,Non-forest,2.0,5.0,,,0.086,-0.0442,,,,,,,,,,Temperate
3,1,Niu et al. 2009,116.43,40.17,11.5,640.0,Non-forest,2.0,20.0,,,-0.0683,-0.0379,,,,,,,,,,Temperate
4,1,Niu et al. 2009,116.43,40.17,11.5,640.0,Non-forest,2.0,20.0,,,-0.0603,-0.0225,,,,,,,,,,Temperate
5,1,Niu et al. 2009,116.43,40.17,11.5,640.0,Non-forest,2.0,45.0,,,-0.1442,-0.1358,,,,,,,,,,Temperate
6,1,Niu et al. 2009,116.43,40.17,11.5,640.0,Non-forest,2.0,45.0,,,-0.1306,-0.0673,,,,,,,,,,Temperate
7,1,Niu et al. 2009,116.43,40.17,11.5,640.0,Non-forest,2.0,80.0,,,0.2547,0.0988,,,,,,,,,,Temperate
8,1,Niu et al. 2009,116.43,40.17,11.5,640.0,Non-forest,2.0,80.0,,,0.1467,-0.0026,,,,,,,,,,Temperate
9,2,Guo et al. 2012a,116.57,36.7,,,Non-forest,7.0,2.5,8.12,0.607,0.5134,,,,,,,,,,,Temperate
10,2,Guo et al. 2012a,116.57,36.7,,,Non-forest,7.0,7.5,8.08,-0.1725,-0.026,,,,,,,,,,,Temperate
11,2,Guo et al. 2012a,116.57,36.7,,,Non-forest,7.0,15.0,7.32,-0.259,-0.1473,,,,,,,,,,,Temperate
12,2,Guo et al. 2012a,116.57,36.7,,,Non-forest,7.0,25.0,5.34,-0.2236,-0.1512,,,,,,,,,,,Temperate
13,3,Guo et al. 2012a,116.57,36.7,,,Forest,7.0,2.5,8.12,0.5469,0.3755,,,,,,,,,,,Temperate
14,3,Guo et al. 2012a,116.57,36.7,,,Forest,7.0,2.5,8.12,0.8093,0.6412,,,,,,,,,,,Temperate
15,3,Guo et al. 2012a,116.57,36.7,,,Forest,7.0,7.5,8.08,0.0899,0.0859,,,,,,,,,,,Temperate
16,3,Guo et al. 2012a,116.57,36.7,,,Forest,7.0,7.5,8.08,0.1067,0.1651,,,,,,,,,,,Temperate
